segment_id,start_time,end_time,start_seconds,end_seconds,duration,text
96,"00:08:33,480","00:08:37,640",513.48,517.64,4.159999999999968,"Das Ziel ist, die Menschen so schnell wie möglich in Arbeit zu"
97,"00:08:37,680","00:08:39,640",517.68,519.64,1.9600000000000364,bringen.
98,"00:08:39,680","00:08:45,640",519.68,525.64,5.960000000000036,Das ist doch immer das Ziel?
99,"00:08:48,080","00:08:52,200",528.08,532.2,4.1200000000000045,"Nicht unbedingt, es gibt auch den Ansatz, seinen Sprachkurs zu machen,"
100,"00:08:52,240","00:08:56,560",532.24,536.56,4.319999999999936,"erst ankommen,"
101,"00:08:56,600","00:08:59,400",536.6,539.4,2.7999999999999545,"aber ich würde sagen, wir müssen die Menschen so schnell wie möglich in"
102,"00:08:59,480","00:09:07,000",539.48,547.0,7.519999999999982,"Arbeit bringen, damit jeder arbeitet der arbeiten kann."
103,"00:09:08,400","00:09:12,040",548.4,552.04,3.6399999999999864,"Es ist alles wahnsinnig diffus, sie schwimmen da herum."
104,"00:09:12,080","00:09:14,160",552.08,554.16,2.0799999999999272,Finde ich nicht.
105,"00:09:14,200","00:09:17,840",554.2,557.84,3.6399999999999864,"Sie sagten gerade, wir müssen den Sozialstaat abbauen,"
106,"00:09:17,880","00:09:22,120",557.88,562.12,4.240000000000009,Geld sparen und große Herausforderungen meistern.
107,"00:09:22,160","00:09:26,760",562.16,566.76,4.600000000000023,"Ich habe gesagt, Bildung ist mir besonders wichtig,"
108,"00:09:26,800","00:09:30,920",566.8,570.92,4.1200000000000045,"ich habe auch nicht gesagt, den Sozialstaat abschaffen."
109,"00:09:30,960","00:09:33,840",570.96,573.84,2.8799999999999955,"Ich habe gefragt, ob uns diesen Sozialstaat"
110,"00:09:33,920","00:09:39,840",573.92,579.84,5.920000000000073,noch leisten können.
111,"00:09:42,720","00:09:48,600",582.72,588.6,5.8799999999999955,"Sie haben gesagt, ja können wir nicht mehr."
112,"00:09:48,640","00:09:51,920",588.64,591.92,3.2799999999999727,Wir müssen den Menschen die Chance geben arbeiten
113,"00:09:51,960","00:09:57,920",591.96,597.92,5.959999999999923,zu gehen.
